property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
96796281,7,39,,92861555
96795415,11,1,,92861496
96795489,10,,,92861584
96795489,63,15,,92861585
96795170,63,11,,92862313
96795170,20,23,,92862311
96795167,11,1,,92862309
96795459,19,30,,92861552
96795457,19,30,2016-02-19 00:00:00,92861551
97545898,8,4,,93832935
97545898,63,359,,93833537
97545898,6,69,,93832933
97545898,7,278,,93832934
97545895,6,69,2016-02-03 00:00:00,93832930
97920217,26,2120,,94316001
97920216,26,2120,2016-03-04 00:00:00,94317676
96795437,19,51,,92861524
96795163,63,3,,92861470
96795395,63,3,2016-02-01 00:00:00,92861468
96795470,10,,,92862459
96796206,38,80,,92862362
96795411,63,75,,92861493
96795463,63,35,2016-02-20 00:00:00,92861557
96795486,11,2,,92861580
96795486,10,,,92862503
100454387,36,143,,97597154
98339885,20,400,,94865620
100062672,36,1675,,97086251
100062672,19,400,,97086250
101516730,47,0,,98973934
102813628,26,210,,100649512
97920238,19,426,2016-03-16 00:00:00,94316022
97919624,19,426,,94317701
97919622,11,1,,94317699
97920244,20,500,,94316028
97544766,25,5,,93833579
97544766,19,163,,93832952
97194037,38,1400,,93381583
97194041,63,150,,93381588
98339889,11,7,,94866223
97193995,20,36,,93381531
97193995,63,97,,93381534
97193995,17,200,,93381530
97193995,25,40,,93381532
97194006,10,,,93381551
97194006,11,2,,93380661
97194805,11,40,,93380681
97194805,10,,,93380680
97194032,19,76,2016-03-21 00:00:00,93380684
97194033,19,76,,93381580
